,spotify_id,name,followers,popularity,genres,chart_hits
15,3xs0LEzcPXtgNfMNcHzLIP,Rockwell,40344.0,58,[],"['us (1)', 'gb (1)', 'at (1)', 'be (1)', 'ca (1)', 'ee (1)', 'de (1)', 'is (1)', 'ie (1)', 'lv (1)', 'lt (1)', 'sk (1)']"
23,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,36163788.0,88,"['dance pop', 'pop', 'uk pop']","['us (17)', 'gb (25)', 'ar (18)', 'au (20)', 'at (14)', 'be (23)', 'bo (10)', 'br (18)', 'bg (24)', 'ca (19)', 'cl (16)', 'co (18)', 'cr (18)', 'cy (21)', 'cz (17)', 'dk (17)', 'do (9)', 'ec (9)', 'eg (13)', 'sv (19)', 'ee (24)', 'fi (22)', 'fr (12)', 'de (14)', 'gr (22)', 'gt (12)', 'hn (18)', 'hk (19)', 'hu (24)', 'is (12)', 'in (6)', 'id (13)', 'ie (24)', 'il (12)', 'it (11)', 'jp (9)', 'lv (18)', 'lt (24)', 'lu (20)', 'my (16)', 'mt (20)', 'mx (18)', 'ma (6)', 'nl (20)', 'nz (19)', 'ni (18)', 'no (16)', 'pa (15)', 'py (9)', 'pe (16)', 'ph (18)', 'pl (23)', 'pt (21)', 'ro (18)', 'ru (6)', 'sa (10)', 'sg (21)', 'sk (23)', 'za (5)', 'kr (6)', 'es (18)', 'se (14)', 'ch (14)', 'tw (18)', 'th (11)', 'tr (12)', 'ua (6)', 'ae (15)', 'uy (15)', 'vn (19)']"
34,5Matrg5du62bXwer29cU5T,Benny The Butcher,266547.0,64,"['boom bap', 'buffalo hip hop', 'hip hop', 'rap', 'upstate ny rap']","['us (1)', 'ca (1)', 'za (1)']"
54,0LyOADBjj28cbvJWTXUEGA,Loren Allred,111839.0,58,"['deep talent show', 'hollywood', 'movie tunes']","['us (1)', 'gb (2)', 'au (2)', 'at (1)', 'cz (1)', 'do (1)', 'ee (1)', 'hk (2)', 'hu (1)', 'is (1)', 'id (2)', 'ie (2)', 'jp (2)', 'my (2)', 'mt (2)', 'mx (1)', 'nz (1)', 'no (1)', 'pa (1)', 'ph (2)', 'pt (1)', 'sg (2)', 'es (1)', 'se (1)', 'tw (2)']"
88,2l35CQqtYRh3d8ZIiBep4v,MKTO,995449.0,66,"['dance pop', 'pop', 'pop rap', 'pop rock', 'post-teen pop', 'uk pop']","['us (3)', 'gb (2)', 'au (5)', 'at (1)', 'be (2)', 'bo (1)', 'br (2)', 'bg (2)', 'ca (3)', 'cl (1)', 'co (1)', 'cr (1)', 'cz (3)', 'dk (2)', 'do (1)', 'ec (1)', 'sv (1)', 'ee (2)', 'fi (2)', 'fr (1)', 'de (1)', 'gr (2)', 'gt (1)', 'hn (1)', 'hk (3)', 'hu (3)', 'is (2)', 'ie (2)', 'it (2)', 'lv (2)', 'lt (2)', 'lu (1)', 'my (4)', 'mt (2)', 'nl (3)', 'nz (5)', 'ni (1)', 'no (3)', 'pa (1)', 'py (1)', 'pe (1)', 'ph (3)', 'pl (2)', 'pt (2)', 'sg (3)', 'sk (2)', 'za (1)', 'se (3)', 'ch (3)', 'tw (3)', 'tr (3)', 'ae (1)', 'uy (1)']"
137,23fqKkggKUBHNkbKtXEls4,Kygo,8134874.0,80,"['edm', 'pop', 'pop dance', 'tropical house']","['us (28)', 'gb (24)', 'ar (9)', 'au (24)', 'at (35)', 'be (28)', 'bo (10)', 'br (11)', 'bg (26)', 'ca (36)', 'cl (10)', 'co (10)', 'cr (10)', 'cy (23)', 'cz (36)', 'dk (35)', 'do (10)', 'ec (10)', 'eg (4)', 'sv (10)', 'ee (36)', 'fi (37)', 'fr (21)', 'de (31)', 'gr (25)', 'gt (12)', 'hn (12)', 'hk (23)', 'hu (38)', 'is (21)', 'in (9)', 'id (21)', 'ie (31)', 'il (11)', 'it (17)', 'jp (13)', 'lv (32)', 'lt (39)', 'lu (31)', 'my (24)', 'mt (30)', 'mx (10)', 'ma (3)', 'nl (34)', 'nz (21)', 'ni (9)', 'no (64)', 'pa (13)', 'py (10)', 'pe (9)', 'ph (21)', 'pl (25)', 'pt (24)', 'ro (14)', 'sa (5)', 'sg (25)', 'sk (42)', 'za (14)', 'kr (3)', 'es (14)', 'se (46)', 'ch (44)', 'tw (31)', 'th (13)', 'tr (12)', 'ua (1)', 'ae (6)', 'uy (9)', 'vn (12)', 'ad (1)']"
149,1WgXqy2Dd70QQOU7Ay074N,AURORA,2426951.0,73,"['art pop', 'norwegian pop']","['us (1)', 'gb (2)', 'ar (1)', 'au (1)', 'at (3)', 'be (1)', 'bo (1)', 'br (1)', 'bg (1)', 'ca (1)', 'cl (1)', 'co (1)', 'cr (1)', 'cy (1)', 'cz (1)', 'dk (1)', 'do (1)', 'ec (1)', 'eg (1)', 'sv (1)', 'ee (2)', 'fi (1)', 'fr (1)', 'de (3)', 'gr (1)', 'gt (1)', 'hn (1)', 'hk (1)', 'hu (1)', 'is (1)', 'in (1)', 'id (1)', 'ie (2)', 'il (1)', 'it (1)', 'lv (2)', 'lt (3)', 'lu (1)', 'my (1)', 'mx (1)', 'ma (1)', 'nl (1)', 'nz (1)', 'ni (1)', 'no (19)', 'pa (1)', 'py (1)', 'pe (1)', 'ph (1)', 'pl (1)', 'pt (1)', 'ro (1)', 'ru (1)', 'sa (1)', 'sg (1)', 'sk (2)', 'za (1)', 'kr (1)', 'es (2)', 'se (1)', 'ch (1)', 'tw (1)', 'th (1)', 'tr (1)', 'ua (2)', 'ae (1)', 'uy (1)', 'vn (2)']"
203,0Ya43ZKWHTKkAbkoJJkwIB,The Wombats,1005825.0,66,"['liverpool indie', 'modern rock', 'rock']","['us (1)', 'gb (4)', 'au (1)', 'at (1)', 'bo (1)', 'bg (1)', 'ca (1)', 'cz (1)', 'ee (1)', 'de (1)', 'gr (1)', 'hk (1)', 'hu (1)', 'is (1)', 'ie (1)', 'it (1)', 'lv (1)', 'lt (1)', 'my (1)', 'mt (1)', 'nz (1)', 'pa (1)', 'ph (1)', 'pl (1)', 'pt (1)', 'sg (1)', 'sk (1)', 'ch (1)', 'tw (1)', 'tr (1)']"
206,4YXycRbyyAE0wozTk7QMEq,Matoma,706492.0,66,"['dance pop', 'edm', 'electro house', 'electropop', 'norwegian pop', 'pop', 'pop dance', 'pop edm', 'tropical house', 'uk pop']","['us (2)', 'gb (3)', 'ar (1)', 'au (3)', 'at (4)', 'be (4)', 'bo (1)', 'br (1)', 'bg (4)', 'ca (3)', 'cl (1)', 'co (1)', 'cr (1)', 'cy (2)', 'cz (4)', 'dk (5)', 'do (1)', 'ec (1)', 'sv (1)', 'ee (4)', 'fi (12)', 'fr (2)', 'de (4)', 'gr (4)', 'gt (1)', 'hn (1)', 'hk (3)', 'hu (4)', 'is (3)', 'id (3)', 'ie (3)', 'it (4)', 'lv (4)', 'lt (7)', 'lu (4)', 'my (3)', 'mt (4)', 'mx (1)', 'nl (3)', 'nz (2)', 'no (32)', 'pa (1)', 'py (1)', 'pe (1)', 'ph (4)', 'pl (4)', 'pt (3)', 'ro (1)', 'sg (4)', 'sk (4)', 'es (1)', 'se (11)', 'ch (4)', 'tw (5)', 'th (1)', 'tr (2)', 'uy (1)']"
230,360IAlyVv4PCEVjgyMZrxK,Miguel,4195623.0,77,"['dance pop', 'pop', 'r&b', 'urban contemporary']","['us (10)', 'gb (1)', 'ar (1)', 'au (4)', 'be (3)', 'bg (1)', 'ca (5)', 'cy (1)', 'cz (2)', 'dk (2)', 'ee (1)', 'gr (1)', 'hk (2)', 'hu (1)', 'is (1)', 'ie (1)', 'it (1)', 'lv (1)', 'lt (1)', 'lu (1)', 'my (2)', 'mt (1)', 'mx (1)', 'nl (2)', 'nz (5)', 'pe (1)', 'ph (2)', 'pl (3)', 'pt (1)', 'ro (1)', 'sa (1)', 'sg (2)', 'sk (1)', 'za (2)', 'se (1)', 'ch (2)', 'tw (3)', 'tr (2)']"
