Source,Target,Type,Id,Label,Weight
179,147,Undirected,23146,,1
2847,980,Undirected,23147,,1
826,474,Undirected,23148,,1
2417,883,Undirected,23149,,1
1065,68,Undirected,23150,,1
590,43,Undirected,23151,,1
836,470,Undirected,23152,,1
252,48,Undirected,23153,,1
778,33,Undirected,23154,,1
923,202,Undirected,23155,,1
2713,966,Undirected,23156,,1
845,470,Undirected,23157,,1
628,603,Undirected,23158,,1
666,378,Undirected,23159,,1
859,35,Undirected,23160,,1
321,261,Undirected,23161,,1
978,779,Undirected,23162,,1
540,122,Undirected,23163,,1
605,9,Undirected,23164,,1
467,32,Undirected,23165,,1
317,191,Undirected,23166,,1
2154,796,Undirected,23167,,1
2728,814,Undirected,23168,,1
463,325,Undirected,23169,,1
762,314,Undirected,23170,,1
494,360,Undirected,23171,,1
932,824,Undirected,23172,,1
594,239,Undirected,23173,,1
343,161,Undirected,23174,,1
810,614,Undirected,23175,,1
339,255,Undirected,23176,,1
754,465,Undirected,23177,,1
532,9,Undirected,23178,,1
758,748,Undirected,23179,,1
665,436,Undirected,23180,,1
797,347,Undirected,23181,,1
836,543,Undirected,23182,,1
2309,265,Undirected,23183,,1
1809,624,Undirected,23184,,1
546,346,Undirected,23185,,1
822,160,Undirected,23186,,1
762,168,Undirected,23187,,1
665,578,Undirected,23188,,1
589,251,Undirected,23189,,1
2392,902,Undirected,23190,,1
891,583,Undirected,23191,,1
960,374,Undirected,23192,,1
440,413,Undirected,23193,,1
865,48,Undirected,23194,,1
2138,467,Undirected,23195,,1
869,593,Undirected,23196,,1
2626,952,Undirected,23197,,1
448,292,Undirected,23198,,1
854,280,Undirected,23199,,1
344,180,Undirected,23200,,1
794,758,Undirected,23201,,1
1006,185,Undirected,23202,,1
738,108,Undirected,23203,,1
659,464,Undirected,23204,,1
871,436,Undirected,23205,,1
872,608,Undirected,23206,,1
967,103,Undirected,23207,,1
715,595,Undirected,23208,,1
2421,846,Undirected,23209,,1
303,14,Undirected,23210,,1
1722,136,Undirected,23211,,1
576,523,Undirected,23212,,1
1124,760,Undirected,23213,,1
826,273,Undirected,23214,,1
570,199,Undirected,23215,,1
1404,295,Undirected,23216,,1
782,628,Undirected,23217,,1
272,187,Undirected,23218,,1
898,694,Undirected,23219,,1
910,424,Undirected,23220,,1
283,42,Undirected,23221,,1
1906,452,Undirected,23222,,1
951,464,Undirected,23223,,1
372,97,Undirected,23224,,1
836,716,Undirected,23225,,1
877,278,Undirected,23226,,1
272,33,Undirected,23227,,1
975,372,Undirected,23228,,1
2603,637,Undirected,23229,,1
3001,360,Undirected,23230,,1
925,406,Undirected,23231,,1
2971,652,Undirected,23232,,1
599,593,Undirected,23233,,1
773,593,Undirected,23234,,1
902,683,Undirected,23235,,1
348,314,Undirected,23236,,1
2232,82,Undirected,23237,,1
754,387,Undirected,23238,,1
2207,467,Undirected,23239,,1
2090,667,Undirected,23240,,1
2293,347,Undirected,23241,,1
839,211,Undirected,23242,,1
823,726,Undirected,23243,,1
452,287,Undirected,23244,,1
2758,907,Undirected,23245,,1
2309,191,Undirected,23246,,1
643,545,Undirected,23247,,1
1171,518,Undirected,23248,,1
1921,66,Undirected,23249,,1
981,370,Undirected,23250,,1
1385,444,Undirected,23251,,1
920,63,Undirected,23252,,1
1813,343,Undirected,23253,,1
981,837,Undirected,23254,,1
748,79,Undirected,23255,,1
1699,261,Undirected,23256,,1
1981,294,Undirected,23257,,1
2130,605,Undirected,23258,,1
359,54,Undirected,23259,,1
1288,280,Undirected,23260,,1
957,758,Undirected,23261,,1
2760,219,Undirected,23262,,1
1363,231,Undirected,23263,,1
837,638,Undirected,23264,,1
2657,981,Undirected,23265,,1
346,8,Undirected,23266,,1
683,661,Undirected,23267,,1
1589,9,Undirected,23268,,1
787,767,Undirected,23269,,1
2760,347,Undirected,23270,,1
532,480,Undirected,23271,,1
2903,356,Undirected,23272,,1
278,195,Undirected,23273,,1
1074,608,Undirected,23274,,1
865,762,Undirected,23275,,1
826,789,Undirected,23276,,1
476,272,Undirected,23277,,1
942,663,Undirected,23278,,1
1329,511,Undirected,23279,,1
1754,343,Undirected,23280,,1
2181,494,Undirected,23281,,1
1493,331,Undirected,23282,,1
1899,932,Undirected,23283,,1
512,36,Undirected,23284,,1
811,758,Undirected,23285,,1
923,650,Undirected,23286,,1
1811,621,Undirected,23287,,1
789,673,Undirected,23288,,1
638,455,Undirected,23289,,1
1261,891,Undirected,23290,,1
287,187,Undirected,23291,,1
646,525,Undirected,23292,,1
1626,1,Undirected,23293,,1
613,525,Undirected,23294,,1
997,46,Undirected,23295,,1
543,169,Undirected,23296,,1
970,470,Undirected,23297,,1
1402,476,Undirected,23298,,1
795,706,Undirected,23299,,1
975,159,Undirected,23300,,1
166,110,Undirected,23301,,1
1383,287,Undirected,23302,,1
921,226,Undirected,23303,,1
638,187,Undirected,23304,,1
2455,644,Undirected,23305,,1
1921,458,Undirected,23306,,1
